# Generated from VCS_PSP_PS2_OPCODE_COMPARE.json; opcode<TAB>table handler target
0x03C3	0x00310d98
0x03C4	0x00183820
0x03C5	0x00183860
0x03C6	0x0021b240
0x03C7	0x0021afb0
0x03C8	0x001e76a0
0x03C9	0x001e7710
0x03CA	0x001e7740
0x03CB	0x001e7750
0x03CC	0x001e7810
0x03CD	0x001e78a0
0x03CE	0x002d5738
0x03CF	0x00405e20
0x03D0	0x00405ea0
0x03D1	0x003d7d68
0x03D2	0x00405f20
0x03D3	0x003dcc60
0x03D4	0x003dcd48
0x03D5	0x0041c638
0x03D6	0x0041c6a0
0x03D7	0x0041c6f8
0x03D8	0x003d7e08
0x03D9	0x002d57c8
0x03DA	0x0021afe0
0x03DB	0x0021b050
0x03DC	0x0021b118
0x03DD	0x0021b1e0
0x03DE	0x0041c750
0x03DF	0x001851c0
0x03E0	0x00185208
0x03E1	0x00185250
0x03E2	0x00406118
0x03E3	0x002d8618
0x03E4	0x002d8620
0x03E5	0x003340f0
0x03E6	0x00334180
0x03E7	0x00310fe0
0x03E8	0x00311070
0x03E9	0x002d5808
0x03EA	0x003dce30
0x03EB	0x003dcf68
0x03EC	0x003dd0a0
0x03ED	0x003dd180
0x03EE	0x00100780
0x03EF	0x0041c7e0
0x03F0	0x003341c8
0x03F1	0x00183470
0x03F2	0x00185290
0x03F3	0x00406220
0x03F4	0x003dd278
0x03F5	0x003110d8
0x03F6	0x00311330
0x03F7	0x003dfaf8
0x03F8	0x002d5868
0x03F9	0x003dfb78
0x03FA	0x002d58d8
0x03FB	0x0041c840
0x03FC	0x002c0190
0x03FD	0x00391910
0x03FE	0x0021b1e8
0x03FF	0x003dfc60
0x0400	0x002d5940
0x0401	0x00406240
0x0402	0x00367000
0x0403	0x004062b0
0x0404	0x001e3370
0x0405	0x0041c8d8
0x0406	0x003dd370
0x0407	0x003dd430
0x0408	0x003dd4f0
0x0409	0x003dd5d8
0x040A	0x003d7e78
0x040B	0x002d59c0
0x040C	0x003919f0
0x040D	0x003dd7c8
0x040E	0x003dd8a0
0x040F	0x003dd930
0x0410	0x003670c8
0x0411	0x00367110
0x0412	0x00367158
0x0413	0x00366ae8
0x0414	0x001838a0
0x0415	0x003341d0
0x0416	0x00334200
0x0417	0x003671a0
0x0418	0x00367210
0x0419	0x0041c070
0x041A	0x0012bd80
0x041B	0x0041ca90
0x041C	0x0041cae8
0x041D	0x001cc930
0x041E	0x00334230
0x041F	0x00334260
0x0420	0x00334290
0x0421	0x003113e8
0x0422	0x003d1270
0x0423	0x00412ee8
0x0424	0x003d7ef8
0x0425	0x0041cb60
0x0426	0x001cca78
0x0427	0x001ccb18
0x0428	0x001ccbb8
0x0429	0x0041c4b8
0x042A	0x00419560
0x042B	0x00183c50
0x042C	0x0041cda0
0x042D	0x0041ce98
0x042E	0x0021b2e0
0x042F	0x003d7fd0
0x0430	0x003d8038
0x0431	0x0041cf78
0x0432	0x0041d010
0x0433	0x003bb250
0x0434	0x0032c4b8
0x0435	0x0032c538
0x0436	0x0032c618
0x0437	0x003bb580
0x0438	0x003bb498
0x0439	0x003bb3b8
0x043A	0x003d80b0
0x043B	0x003df548
0x043C	0x003df618
0x043D	0x003df680
0x043E	0x0030cec0
0x043F	0x0030cfe0
0x0440	0x0030d030
0x0441	0x0030d120
0x0442	0x0041d0a8
0x0443	0x00183cc8
0x0444	0x00183d88
0x0445	0x00183f20
0x0446	0x0041d120
0x0447	0x003d8130
0x0448	0x0041d208
0x0449	0x0041d2a0
0x044A	0x0041d338
0x044B	0x003342c0
0x044C	0x0041d3c0
0x044D	0x001852d0
0x044E	0x00265c88
0x044F	0x00265d00
0x0450	0x00265d40
0x0451	0x00265db8
0x0452	0x00265e30
0x0453	0x00265ed8
0x0454	0x00265f80
0x0455	0x002660b0
0x0456	0x00266210
0x0457	0x00266270
0x0458	0x00266318
0x0459	0x00266388
0x045A	0x002663f8
0x045B	0x00266468
0x045C	0x002664e0
0x045D	0x00266540
0x045E	0x0017dee0
0x045F	0x0017dfa0
0x0460	0x0017e0a8
0x0461	0x0017e518
0x0462	0x0017e1c8
0x0463	0x0017e2d0
0x0464	0x0017e3f8
0x0465	0x0017e620
0x0466	0x0017e018
0x0467	0x0017e138
0x0468	0x0017e590
0x0469	0x0017e240
