# Generated from VCS_PSP_PS2_OPCODE_COMPARE.json; opcode<TAB>table handler target
0x02EC	0x001dbcd0
0x02ED	0x001dbd1c
0x02EE	0x00328734
0x02EF	0x00328810
0x02F0	0x003198d8
0x02F1	0x001dbd94
0x02F2	0x002e45d0
0x02F3	0x002e46a8
0x02F4	0x002e46f0
0x02F5	0x0028ed1c
0x02F6	0x0028ee44
0x02F7	0x001dbebc
0x02F8	0x00328900
0x02F9	0x003289b8
0x02FA	0x0020f0ec
0x02FB	0x0020f168
0x02FC	0x001dbf0c
0x02FD	0x001dbf50
0x02FE	0x00328a34
0x02FF	0x002e4758
0x0300	0x002e47cc
0x0301	0x002e4828
0x0302	0x001dbfe4
0x0303	0x0029b39c
0x0304	0x0020dbcc
0x0305	0x0020dbcc
0x0306	0x0020f23c
0x0307	0x0020f320
0x0308	0x0020f320
0x0309	0x00328aac
0x030A	0x000d9aac
0x030B	0x000801b8
0x030C	0x00080258
0x030D	0x0008035c
0x030E	0x00328b48
0x030F	0x00328b90
0x0310	0x00328c40
0x0311	0x002f0340
0x0312	0x0007fc6c
0x0313	0x001d9cfc
0x0314	0x001d9d7c
0x0315	0x000821f0
0x0316	0x002e4870
0x0317	0x00004f04
0x0318	0x001dc04c
0x0319	0x001dc1e0
0x031A	0x0007fd30
0x031B	0x002e4954
0x031C	0x002e49b4
0x031D	0x00000604
0x031E	0x000006f8
0x031F	0x002e4a30
0x0320	0x00328ce0
0x0321	0x0020f340
0x0322	0x00328db8
0x0323	0x002ed514
0x0324	0x00328ed4
0x0325	0x002e4a78
0x0326	0x00328f58
0x0327	0x00329088
0x0328	0x002e4b44
0x0329	0x002e4c74
0x032A	0x002e4d7c
0x032B	0x0032918c
0x032C	0x0020f3a0
0x032D	0x00329278
0x032E	0x000822c4
0x032F	0x003292f4
0x0330	0x001dc248
0x0331	0x00329368
0x0332	0x003293dc
0x0333	0x002e4df8
0x0334	0x002e4fa4
0x0335	0x002e5018
0x0336	0x00329424
0x0337	0x00329560
0x0338	0x00004fe4
0x0339	0x00329774
0x033A	0x002b867c
0x033B	0x003297e8
0x033C	0x002e5178
0x033D	0x0020f484
0x033E	0x001dc2dc
0x033F	0x001dc364
0x0340	0x001dc38c
0x0341	0x001dc424
0x0342	0x00329838
0x0343	0x00329a48
0x0344	0x00329c34
0x0345	0x0007fd90
0x0346	0x0020f554
0x0347	0x00329ca8
0x0348	0x00329d1c
0x0349	0x00329d90
0x034A	0x00329ea4
0x034B	0x002e51c8
0x034C	0x00275c40
0x034D	0x00329f74
0x034E	0x002e52b0
0x034F	0x0032a04c
0x0350	0x002e5300
0x0351	0x00082300
0x0352	0x0032a100
0x0353	0x001d48a4
0x0354	0x001dc4bc
0x0355	0x0007fddc
0x0356	0x00289458
0x0357	0x001dc578
0x0358	0x0008233c
0x0359	0x00005048
0x035A	0x00319928
0x035B	0x001dc5c8
0x035C	0x0032a25c
0x035D	0x0032a2c8
0x035E	0x002e5408
0x035F	0x0032a3a4
0x0360	0x0007fe2c
0x0361	0x0032a4a8
0x0362	0x000823c0
0x0363	0x001dc738
0x0364	0x001dc7a0
0x0365	0x0032a580
0x0366	0x002e550c
0x0367	0x0032a864
0x0368	0x0032a8bc
0x0369	0x002e5640
0x036A	0x0008240c
0x036B	0x001dc808
0x036C	0x0032a958
0x036D	0x0007fed8
0x036E	0x00082440
0x036F	0x0029b3fc
0x0370	0x002e5698
0x0371	0x0029b468
0x0372	0x000007e8
0x0373	0x00000888
0x0374	0x00253f58
0x0375	0x00253f60
0x0376	0x00253f68
0x0377	0x002acdec
0x0378	0x003199e4
0x0379	0x00319a38
0x037A	0x002b8714
0x037B	0x002b8714
0x037C	0x002e570c
0x037D	0x002e57ec
0x037E	0x002e58c4
0x037F	0x002e599c
0x0390	0x002b88a0
0x0391	0x002b88a8
0x0392	0x002b88d4
0x0393	0x0032aa48
0x0394	0x001dc914
0x0395	0x00319a58
0x0396	0x00319b88
0x0397	0x002e5a74
0x0398	0x002e5b4c
0x0399	0x0032aac4
0x039A	0x002e5c24
0x039B	0x001de448
0x039C	0x001dc950
0x039D	0x00253f70
0x039E	0x00253f78
0x039F	0x00253f80
0x03A0	0x00253f88
0x03A1	0x00319c68
0x03A2	0x0032ab40
0x03A3	0x002e5d18
0x03A4	0x002e5e70
0x03A5	0x0032ada8
0x03A6	0x0032ae18
0x03A7	0x001dca34
0x03A8	0x001dcc48
0x03A9	0x0020f5c4
0x03AA	0x0020f64c
0x03AB	0x001d9dd4
0x03AC	0x0008247c
0x03AD	0x000824b8
0x03AE	0x0032aef0
0x03AF	0x002e5f14
0x03B0	0x000824e4
0x03B1	0x0020f720
0x03B2	0x0020f844
0x03B3	0x002e60b8
0x03B4	0x002e613c
0x03B5	0x0020f898
0x03B6	0x0018c010
0x03B7	0x0018c08c
0x03B8	0x002e61b0
0x03B9	0x002e63ec
0x03BA	0x00253fb4
0x03BB	0x002e64ac
0x03BC	0x0032af6c
0x03BD	0x001dcccc
0x03BE	0x0020f9d4
0x03BF	0x002e6548
0x03C0	0x001dcd20
0x03C1	0x0029b4d4
0x03C2	0x002ed638
0x03C3	0x0020fa24
0x03C4	0x000803cc
0x03C5	0x00080408
0x03C6	0x0012ed14
0x03C7	0x0012edb0
0x03C8	0x000f8d90
0x03C9	0x000f8e1c
0x03CA	0x000f8e64
0x03CB	0x000f8e70
0x03CC	0x000f8f38
0x03CD	0x000f8fd8
0x03CE	0x001dcde0
0x03CF	0x00319cc4
0x03D0	0x00319d4c
0x03D1	0x002e6714
0x03D2	0x00319dd4
0x03D3	0x002ed684
0x03D4	0x002ed774
0x03D5	0x0032b03c
0x03D6	0x0032b09c
0x03D7	0x0032b0f0
0x03D8	0x002e67ac
0x03D9	0x001dce6c
0x03DA	0x0012eddc
0x03DB	0x0012ee40
0x03DC	0x0012eee8
0x03DD	0x0012ef90
0x03DE	0x0032b144
0x03DF	0x000824f8
0x03E0	0x00082548
0x03E1	0x0008258c
0x03E2	0x00319f88
0x03E3	0x001de5d0
0x03E4	0x001de5d8
0x03E5	0x00254020
0x03E6	0x002540b4
0x03E7	0x0020fcb0
0x03E8	0x0020fd38
0x03E9	0x001dcea8
0x03EA	0x002ed864
0x03EB	0x002ed9ac
0x03EC	0x002edaf4
0x03ED	0x002edbe4
0x03EE	0x00000948
0x03EF	0x0032b1b4
0x03F0	0x002540f4
0x03F1	0x00080054
0x03F2	0x000825c8
0x03F3	0x0031a0a0
0x03F4	0x002edcec
0x03F5	0x0020fd98
0x03F6	0x0020ffd4
0x03F7	0x002f0430
0x03F8	0x001dcf10
0x03F9	0x002f04bc
0x03FA	0x001dcf74
0x03FB	0x0032b204
0x03FC	0x001d4910
0x03FD	0x0029b540
0x03FE	0x0012ef98
0x03FF	0x002f0598
0x0400	0x001dcfe0
0x0401	0x0031a0c0
0x0402	0x002894a0
0x0403	0x0031a16c
0x0404	0x001d9ea8
0x0405	0x0032b2a0
0x0406	0x002eddf4
0x0407	0x002edec0
0x0408	0x002edf8c
0x0409	0x002ee07c
0x040A	0x002e6814
0x040B	0x001dd05c
0x040C	0x0029b5b0
0x040D	0x002ee16c
0x040E	0x002ee254
0x040F	0x002ee2ec
0x0410	0x00289564
0x0411	0x002895a8
0x0412	0x002895ec
0x0413	0x00289630
0x0414	0x00080444
0x0415	0x002540fc
0x0416	0x00254128
0x0417	0x0028975c
0x0418	0x002897cc
0x0419	0x0032b320
0x041A	0x0009e3cc
0x041B	0x0032b598
0x041C	0x0032b5ec
0x041D	0x000d9bf8
0x041E	0x00254154
0x041F	0x00254180
0x0420	0x002541ac
0x0421	0x00210094
0x0422	0x002e6888
0x0423	0x0032b65c
0x0424	0x002e6958
0x0425	0x0032b730
0x0426	0x000d9d40
0x0427	0x000d9ddc
0x0428	0x000d9e78
0x0429	0x0032b998
0x042A	0x0032ba4c
0x042B	0x00080650
0x042C	0x0032bafc
0x042D	0x0032bbec
0x042E	0x0012efe8
0x042F	0x002e6a30
0x0430	0x002e6a90
0x0431	0x0032bccc
0x0432	0x0032bd5c
0x0433	0x002c3380
0x0434	0x002385f8
0x0435	0x0023866c
0x0436	0x0023876c
0x0437	0x002c34cc
0x0438	0x002c3618
0x0439	0x002c3704
0x043A	0x002e6b08
0x043B	0x002efdb0
0x043C	0x002efe70
0x043D	0x002efed8
0x043E	0x002101ec
0x043F	0x0021031c
0x0440	0x00210370
0x0441	0x00210454
0x0442	0x0032bdec
0x0443	0x000806c0
0x0444	0x00080774
0x0445	0x00080924
0x0446	0x0032be64
0x0447	0x002e6b7c
0x0448	0x0032bf40
0x0449	0x0032bfd0
0x044A	0x0032c064
0x044B	0x002541d8
0x044C	0x0032c0e4
0x044D	0x00082608
0x044E	0x001721c8
0x044F	0x00172234
0x0450	0x00172268
0x0451	0x001722d0
0x0452	0x00172338
0x0453	0x001723fc
0x0454	0x001724c0
0x0455	0x001725e8
